
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
4.405,-0.277,1.961,7.464,2.25,6.88,964.56,32.44,0
4.430,-0.667,1.853,7.643,0.60,6.95,1013.28,32.44,0
4.491,-0.525,1.900,7.544,0.30,5.75,989.57,32.44,0
4.393,-0.540,1.924,8.224,0.84,5.18,938.55,32.44,0
4.580,-0.991,1.831,7.544,1.05,7.21,1035.12,32.44,0
4.329,-0.604,1.992,7.816,0.77,7.30,973.98,32.50,0
4.682,-0.484,1.982,8.823,0.50,8.08,1162.05,32.50,0
4.618,-0.123,2.112,9.081,0.61,6.37,1060.74,32.44,0
4.472,-0.569,1.950,8.115,1.39,7.30,1008.30,32.50,0
4.614,0.148,2.029,8.453,0.29,6.36,993.67,32.50,0
4.617,-0.206,2.089,9.232,0.88,5.80,1050.67,32.50,0
4.526,-0.207,2.145,8.947,0.93,8.10,1071.21,32.50,0
4.558,0.165,2.288,10.033,1.09,6.47,1119.61,32.50,0
4.809,0.043,2.008,9.034,0.30,7.40,1129.42,32.50,0
4.688,0.299,2.326,10.257,0.82,7.12,1126.68,32.50,0
4.465,-0.519,1.896,7.863,0.00,6.96,1007.28,32.50,0
4.823,-0.152,2.083,9.484,0.30,6.43,1164.10,32.50,0
4.599,-0.240,1.980,8.583,0.00,6.36,1087.62,32.50,0
4.542,-0.328,2.182,9.666,1.06,6.79,1030.95,32.50,0
4.539,0.435,2.123,9.052,0.29,7.28,1025.14,32.56,0
4.797,3.083,3.098,14.259,0.39,5.03,991.60,32.50,0
4.686,-0.001,2.031,9.148,0.00,6.70,1071.72,32.56,0
4.554,-0.061,2.008,8.605,1.08,6.37,1027.20,32.50,0
4.733,-0.364,2.136,9.788,0.71,6.25,1042.51,32.56,0
4.732,-0.762,1.913,8.422,1.82,6.28,1162.65,32.56,0
4.460,-0.742,1.950,8.370,0.00,5.63,996.16,32.56,0
4.569,-0.734,1.742,6.992,0.84,5.81,980.46,32.56,0
4.639,-0.510,1.938,8.155,1.03,6.59,1032.94,32.56,0
4.446,-0.762,1.866,7.549,1.45,5.64,996.03,32.56,0
4.567,-0.659,1.881,7.899,0.65,5.48,1032.76,32.56,0
4.649,-0.937,1.872,7.935,0.99,5.85,1034.49,32.56,0
4.723,0.242,2.061,9.299,2.10,5.56,1028.50,32.56,0
4.612,-0.363,1.936,8.435,0.68,6.54,984.17,32.56,0
4.472,-0.577,1.909,8.024,0.30,7.12,1041.20,32.56,0
4.496,-0.651,1.953,8.249,0.34,6.59,1003.75,32.56,0
4.863,-0.846,1.829,8.117,0.66,7.42,1163.54,32.56,0
4.772,-0.656,1.884,8.388,0.61,7.81,1116.43,32.56,0
4.634,-0.535,1.827,8.112,0.20,6.62,1035.05,32.56,0
4.672,-0.676,1.863,8.254,0.77,6.48,1073.55,32.56,0
4.817,-0.763,1.868,8.574,0.46,7.19,1099.70,32.56,0
4.715,-0.750,1.995,9.001,1.05,5.64,1096.27,32.56,0
4.719,-0.768,1.812,7.830,0.38,6.30,1054.49,32.50,0
4.806,-0.735,1.807,7.995,0.37,6.69,1125.32,32.56,0
4.599,-0.486,2.012,8.634,0.78,6.94,1092.40,32.56,0
4.893,-0.691,1.890,8.853,0.91,6.18,1090.00,32.56,0
4.615,-0.699,1.889,8.266,0.48,6.53,1099.45,32.56,0
4.629,-0.509,1.877,7.995,0.99,7.14,1090.50,32.56,0
4.837,-0.506,1.939,8.824,0.47,6.74,1133.50,32.56,0
4.750,-0.560,2.006,8.989,1.05,7.08,1089.92,32.56,0
4.620,-0.453,1.973,8.675,1.05,6.12,1069.81,32.56,0
4.806,-0.028,2.042,9.230,0.00,6.00,1071.89,32.56,0
4.789,-0.309,2.000,9.075,0.68,7.97,1086.30,32.56,0
4.642,-0.580,1.969,8.798,1.33,6.25,1031.93,32.62,0
4.736,-0.555,1.881,8.142,1.79,6.33,1061.25,32.62,0
4.768,-0.575,1.964,8.939,0.20,6.91,1090.28,32.56,0
65.870,122.763,11.286,743.012,0.90,3.36,38309.41,32.62,0
4.799,-0.302,2.040,9.451,2.02,5.74,1085.26,32.56,0
4.763,-0.259,2.119,9.297,0.85,5.49,1107.72,32.62,0
4.726,-0.581,1.812,8.154,1.54,6.61,1044.29,32.62,0
4.749,-0.567,2.069,9.085,0.00,6.18,1106.80,32.62,0
4.714,-0.723,1.882,7.998,1.86,7.71,1144.27,32.56,0
4.687,-0.835,1.893,8.131,0.73,6.72,1033.72,32.62,0
4.812,-0.705,1.779,7.681,2.08,5.67,1027.45,32.62,0
